Code,IUPAC name,CAS #,Empirical Formula,DBE,MW,BP,pKa,logP,Refractive Index,5 µg/mL,10 µg/mL,20 µg/mL,SMILES,ExactMolWt,TPSA,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
RM92,"(2,4-dihydroxyphenyl)-phenylmethanone",131-56-6,C13H10O3,9.0,214.2,409.0,7.72,3.17,1.648,0.001,0.001,0.035,C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)O)O,214.06299418,57.53,16.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.328800000000002,59.64610000000003
RM93,2-(benzotriazol-2-yl)-4-methylphenol,2440-22-4,C13H11N3O,10.0,225.3,423.8,8.15,4.3,1.682,0.189,0.22,0.23,CC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,225.090211972,50.94,17.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,2.43452,65.26680000000003
RM94,"2-(benzotriazol-2-yl)-4-(2,4,4-trimethylpentan-2-yl)phenol",3147-75-9,C20H25N3O,10.0,323.4,471.8,8.07,7.29,1.585,0.196,0.21,0.166,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,323.19976242,50.94,24.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,3.0,4.839900000000005,97.62780000000005
RM95,"2-(benzotriazol-2-yl)-4,6-bis(2-phenylpropan-2-yl)phenol",70321-86-7,C30H29N3O,18.0,447.6,589.3,9.00,9.21,1.619,0.255,0.253,0.172,CC(C)(C1=CC=CC=C1)C2=CC(=C(C(=C2)N3N=C4C=CC=CC4=N3)O)C(C)(C)C5=CC=CC=C5,447.231062548,50.94,34.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,5.0,4.0,1.0,4.0,5.0,0.0,0.0,0.0,5.0,6.777900000000008,137.6697999999999
RM96,imidazolidine-2-thione,96-45-7,C3H6N2S,2.0,102.2,148.3,15.01,-0.66,1.626,0.001,0.031,0.058,C1CNC(=S)N1,102.02516919199999,24.06,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,-0.5359000000000003,28.6034
RM97,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecanoic acid",335-76-2,C10HF19O2,1.0,514.1,219.0,0.52,9.53,1.289,0.0,0.0,0.0,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,513.9673154520001,37.3,31.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,8.0,0.0,0.0,0.0,0.0,5.715700000000001,53.266799999999954
RM98,2-ethylhexan-1-ol,104-76-7,C8H18O,0.0,130.2,184.0,15.06,2.82,1.426,0.472,0.547,0.551,CCCCC(CC)CO,130.135765196,20.23,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.1951000000000005,40.3918
RM99,azacyclotridecan-2-one,947-04-6,C12H23NO,2.0,197.3,314.9,16.91,3.06,1.44,0.17,0.219,0.25,C1CCCCCC(=O)NCCCCC1,197.177964356,29.1,14.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0172000000000017,59.17970000000005
RM100,tetradecane,629-59-4,C14H30,0.0,198.4,253.9,,8.19,1.429,1.339,1.572,1.535,CCCCCCCCCCCCCC,198.23475095999999,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.707400000000006,66.75200000000007
RM101,2-hydroxy-2-methyl-1-phenylpropan-1-one,7473-98-5,C10H12O2,5.0,164.2,260.8,13.23,1.13,1.533,0.274,0.347,0.4,CC(C)(C(=O)C1=CC=CC=C1)O,164.083729624,37.3,12.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.6401999999999999,47.07030000000003
RM102,2-phenylpropan-2-ol,617-94-7,C9H12O,4.0,136.2,202.0,14.49,1.73,1.518,0.728,0.737,0.691,CC(C)(C1=CC=CC=C1)O,136.088815004,20.23,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.9140000000000001,41.68680000000002
RM103,dodec-1-ene,112-41-4,C12H24,1.0,168.3,213.9,,6.62,1.431,1.444,1.765,1.645,CCCCCCCCCCC=C,168.187800768,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.703200000000004,57.42400000000005
RM105,dodecyl 3-(3-dodecoxy-3-oxopropyl)sulfanylpropanoate,123-28-4,C30H58O4S,2.0,514.8,580.8,,12.88,1.472,0.0,0.0,0.0,CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC,514.405581336,52.60000000000001,35.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0,9.428,152.16499999999982
RM106,2-(2-ethoxyethoxy)ethanol,111-90-0,C6H14O3,0.0,134.2,202.0,14.37,-0.62,1.42,0.001,0.028,0.088,CCOCCOCCO,134.094294308,38.69,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.031799999999999884,34.39779999999999
