Code,IUPAC name,CAS #,Empirical Formula,DBE,MW,BP,pKa,logP,Refractive Index,5 µg/mL,10 µg/mL,20 µg/mL,SMILES,ExactMolWt,TPSA,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
RM34,"1,2-bis(2-methylphenyl)guanidine",97-39-2,C15H17N3,9.0,239.3,396.0,10.32,3.77,1.585,0.001,0.001,0.001,CC1=CC=CC=C1NC(=NC2=CC=CC=C2C)N,239.14224754399999,50.41,18.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,3.361740000000001,77.26310000000002
RM35,"1-N-phenyl-4-N-propan-2-ylbenzene-1,4-diamine",101-72-4,C15H18N2,8.0,226.3,378.0,6.76,2.83,1.634,0.176,0.201,0.214,CC(C)NC1=CC=C(C=C1)NC2=CC=CC=C2,226.146998576,24.06,17.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,4.250500000000002,74.92540000000004
RM37,"5-chloro-2-(2,4-dichlorophenoxy)phenol",3380-34-5,C12H7Cl3O2,8.0,289.5,290.0,7.90,5.17,1.632,0.101,0.136,0.15,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,287.951162504,29.46,17.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,2.0,5.144700000000002,69.65280000000001
RM40,"2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-3,4-dihydrochromen-6-ol",10191-41-0,C29H50O2,5.0,430.7,485.9,11.40,11.9,1.495,0.121,0.144,0.142,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,430.38108084,29.46,31.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,12.0,0.0,0.0,0.0,2.0,8.840260000000002,134.3908
RM41,2-tert-butyl-6-[(3-tert-butyl-5-ethyl-2-hydroxyphenyl)methyl]-4-ethylphenol,88-24-4,C25H36O2,8.0,368.6,452.0,11.37,8.09,1.544,0.208,0.297,0.378,CCC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)CC)C(C)(C)C)O,368.271530392,40.46,27.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,6.408400000000008,115.17560000000007
RM44,"2-[2-[3-(3,5-ditert-butyl-4-hydroxyphenyl)propanoyloxy]ethylsulfanyl]ethyl 3-(3,5-ditert-butyl-4-hydroxyphenyl)propanoate",41484-35-9,C38H58O6S,10.0,642.9,659.0,12.02,10.64,1.533,0.099,0.152,0.022,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCCSCCOC(=O)CCC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,642.395410576,93.06000000000002,45.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,7.0,12.0,0.0,0.0,0.0,2.0,8.672800000000006,186.89859999999936
RM47,"N,N-bis(2-hydroxyethyl)dodecanamide",120-40-1,C16H33NO3,1.0,287.4,443.0,14.16,3.94,1.48,0.0,0.0,0.0,CCCCCCCCCCCC(=O)N(CCO)CCO,287.246043916,60.77000000000001,20.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,14.0,0.0,0.0,0.0,0.0,2.720500000000001,82.59560000000005
RM48,"2,3-dihydroxypropyl octadecanoate",123-94-4,C21H42O4,1.0,358.6,476.9,13.39,7.23,1.469,0.0,0.0,0.0,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O,358.30830982399993,66.76,25.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,19.0,0.0,0.0,0.0,0.0,5.1443000000000065,103.59760000000007
RM49,"1,3-benzothiazole",95-16-9,C7H5NS,6.0,135.2,227.0,0.85,2.01,1.689,0.863,0.891,0.857,C1=CC=C2C(=C1)N=CS2,135.01427016,12.89,9.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.2963000000000005,39.62000000000002
RM50,"N,N-dimethyl-1-phenylmethanamine",103-83-3,C9H13N,4.0,135.2,181.0,9.62,1.98,1.517,1.53,1.467,1.358,CN(C)CC1=CC=CC=C1,135.104799416,3.24,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.7482,43.83300000000003
RM51,4-tert-butylphenol,98-54-4,C10H14O,4.0,150.2,234.0,9.67,3.17,1.514,0.687,0.724,0.737,CC(C)(C)C1=CC=C(C=C1)O,150.104465068,20.23,11.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.6897000000000015,46.80680000000004
RM52,4-(2-methylbutan-2-yl)phenol,80-46-6,C11H16O,4.0,164.2,262.5,9.64,3.7,1.51,0.615,0.527,0.606,CCC(C)(C)C1=CC=C(C=C1)O,164.120115132,20.23,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.079800000000002,51.42380000000004
RM53,4-[(4-aminophenyl)methyl]aniline,101-77-9,C13H14N2,8.0,198.3,398.0,5.32,1.64,1.66,0.142,0.243,0.377,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,198.115698448,52.04,15.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.4418,64.51480000000002
RM55,"N-(1,3-benzothiazol-2-ylsulfanyl)cyclohexanamine",95-33-0,C13H16N2S2,7.0,264.4,410.4,0.59,5.32,1.665,0.104,0.107,0.149,C1CCC(CC1)NSC2=NC3=CC=CC=C3S2,264.075490512,24.92,17.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,0.0,1.0,3.0,4.2257000000000025,75.48570000000004
RM56,"3H-1,3-benzothiazole-2-thione",149-30-4,C7H5NS2,6.0,167.3,281.3,9.80,2.41,1.757,0.001,0.001,0.001,C1=CC=C2C(=C1)NC(=S)S2,166.98634116,15.79,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.9588900000000002,47.00970000000001
RM57,octadecanoic acid,57-11-4,C18H36O2,1.0,284.5,359.4,4.70,8.22,1.456,0.001,0.001,0.001,CCCCCCCCCCCCCCCCCC(=O)O,284.271530392,37.3,20.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,6.332500000000007,87.18180000000008
RM58,"1,4-diphenylbenzene",92-94-4,C18H14,12.0,230.3,400.0,4.75,5.63,1.602,1.508,1.98,1.768,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3,230.109550448,0.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0206000000000035,77.31400000000004
RM59,N-[2-(octadecanoylamino)ethyl]octadecanamide,110-30-5,C38H76N2O2,2.0,593.0,720.3,15.53,14.99,1.467,0.0,0.0,0.0,CCCCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCCCC,592.590679672,58.2,42.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,35.0,0.0,0.0,0.0,0.0,11.741799999999987,185.11139999999943
RM60,"3,4-dimethylbenzaldehyde",5973-71-7,C9H10O,5.0,134.2,225.3,,2.56,1.551,0.734,0.866,0.967,CC1=C(C=C(C=C1)C=O)C,134.07316494,17.07,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.11594,41.303500000000014
RM61,"2,2-dimethyl-N-phenylpropanamide",6625-74-7,C11H15NO,5.0,177.2,323.5,15.12,2.31,1.545,0.632,0.661,0.69,CC(C)(C)C(=O)NC1=CC=CC=C1,177.1153641,29.1,13.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.6712000000000007,54.526700000000034
RM63,triethyl phosphate,78-40-0,C6H15O4P,0.0,182.2,216.0,-9.10,1.08,1.406,0.274,0.297,0.355,CCOP(=O)(OCC)OCC,182.07079559,44.760000000000005,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,2.2039999999999997,42.48450000000001
RM64,"2,3-diacetyloxypropyl acetate",102-76-1,C9H14O6,3.0,218.2,258.0,-6.50,-0.24,1.435,0.302,0.337,0.383,CC(=O)OCC(COC(=O)C)OC(=O)C,218.079038168,78.9,15.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.044299999999999784,48.82000000000003
RM65,"triethyl 2-hydroxypropane-1,2,3-tricarboxylate",77-93-0,C12H20O7,3.0,276.3,294.0,10.28,1.49,1.462,0.106,0.145,0.205,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,276.12090298000004,99.13000000000002,19.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.1870000000000001,64.08280000000003
RM66,"[2,2,4-trimethyl-3-(2-methylpropanoyloxy)pentyl] 2-methylpropanoate",6846-50-0,C16H30O4,2.0,286.4,280.0,,4.04,1.441,0.708,0.674,0.668,CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C,286.21440944,52.6,20.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,3.4356000000000027,79.13400000000006
RM67,methyl (Z)-octadec-9-enoate,112-62-9,C19H36O2,2.0,296.5,351.4,,8.16,1.454,0.377,0.378,0.396,CCCCCCCC/C=C\CCCCCCCC(=O)OC,296.271530392,26.3,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,6.1969000000000065,91.46800000000007
RM68,propan-2-yl hexadecanoate,142-91-6,C19H38O2,1.0,298.5,340.7,,8.49,1.443,0.468,0.451,0.616,CCCCCCCCCCCCCCCC(=O)OC(C)C,298.287180456,26.3,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,6.419300000000007,91.54000000000008
RM69,"diphenyl benzene-1,4-dicarboxylate",1539-04-4,C20H14O4,14.0,318.3,496.6,,5.39,1.616,0.14,0.259,0.245,C1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)C(=O)OC3=CC=CC=C3,318.089208928,52.60000000000001,24.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,4.125000000000003,89.24300000000002
RM70,"6-amino-4-(ethylamino)-1H-1,3,5-triazin-2-one",7313-54-4,C5H9N5O,4.0,155.2,464.4,7.53,1.13,1.7,0.0,0.0,0.0,CCNC1=NC(=O)NC(=N1)N,155.080709908,96.69,11.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,6.0,2.0,0.0,0.0,0.0,1.0,-0.8211000000000002,41.2288
RM71,"tributyl 2-hydroxypropane-1,2,3-tricarboxylate",77-94-1,C18H32O7,3.0,360.5,389.8,11.30,4.68,1.465,0.022,0.099,0.163,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,360.214803364,99.13000000000002,25.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,14.0,0.0,0.0,0.0,0.0,2.527600000000001,91.78480000000006
RM72,"bis(6-methylheptyl) benzene-1,2-dicarboxylate",27554-26-3,C24H38O4,6.0,390.6,384.9,,8.71,1.489,0.001,0.001,0.001,CC(C)CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC(C)C,390.277009696,52.60000000000001,28.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,14.0,0.0,0.0,0.0,1.0,6.433000000000007,113.61900000000009
RM73,"bis(2-ethylhexyl) benzene-1,4-dicarboxylate",6422-86-2,C24H38O4,11.0,390.6,400.0,,9.55,1.489,0.266,0.292,0.265,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC,390.277009696,52.60000000000001,28.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,14.0,0.0,0.0,0.0,1.0,6.433000000000007,113.61900000000009
RM74,"tributyl 2-acetyloxypropane-1,2,3-tricarboxylate",77-90-7,C20H34O8,4.0,402.5,418.1,,6.92,1.458,0.333,0.356,0.347,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,402.22536804799995,105.20000000000002,28.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,3.0984000000000016,101.33200000000008
RM75,dioctyl nonanedioate,2064-80-4,C25H48O4,2.0,412.7,431.3,,9.69,1.454,0.042,0.038,0.037,CCCCCCCCOC(=O)CCCCCCCC(=O)OCCCCCCCC,412.355260016,52.60000000000001,29.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,7.524500000000009,120.9890000000001
RM76,bis(2-ethylhexyl) decanedioate,122-62-3,C26H50O4,2.0,426.7,435.5,,9.86,1.454,0.175,0.286,0.238,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,426.37091007999993,52.60000000000001,30.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,7.91460000000001,125.60600000000011
RM77,"bis(7-methyloctyl) benzene-1,2-dicarboxylate",28553-12-0,C26H42O4,6.0,418.6,435.5,,10.14,1.489,0.001,0.001,0.001,CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C,418.308309824,52.60000000000001,30.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,16.0,0.0,0.0,0.0,1.0,7.2132000000000085,122.8530000000001
RM79,bis(8-methylnonyl) hexanedioate,27178-16-1,C26H50O4,2.0,426.7,428.0,,10.23,1.454,0.0,0.0,0.0,CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C,426.37091008,52.60000000000001,30.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,7.62640000000001,125.4660000000001
RM80,"dicyclohexyl benzene-1,2-dicarboxylate",84-61-7,C20H26O4,8.0,330.4,425.8,,5.76,1.544,0.51,0.527,0.443,C1CCC(CC1)OC(=O)C2=CC=CC=C2C(=O)OC3CCCCC3,330.183109312,52.60000000000001,24.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,4.0,4.0,2.0,0.0,2.0,3.0,4.665600000000004,91.01900000000006
RM83,"bis(2-ethylhexyl) cyclohexane-1,2-dicarboxylate",84-71-9,C24H44O4,3.0,396.6,463.9,,8.63,1.465,0.277,0.294,0.274,CCCCC(CC)COC(=O)C1CCCCC1C(=O)OCC(CC)CCCC,396.323959888,52.60000000000001,28.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,14.0,1.0,0.0,1.0,1.0,6.312000000000007,113.9780000000001
RM85,"2-benzofuran-1,3-dione",85-44-9,C8H4O3,7.0,148.1,295.0,2.97,1.6,1.613,0.001,0.001,0.001,C1=CC=C2C(=C1)C(=O)OC2=O,148.016043988,43.370000000000005,11.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.9972,36.18800000000001
RM86,2H-benzotriazole,95-14-7,C6H5N3,6.0,119.1,359.2,1.60,1.34,1.715,0.001,0.001,0.001,C1=CC2=NNN=C2C=C1,119.04834715999999,41.57,9.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.9578999999999998,33.88870000000001
RM87,"2-(1,3-benzothiazol-2-yl)phenol",3411-95-8,C13H9NOS,10.0,227.3,402.2,8.21,4.53,1.719,0.09,0.14,0.163,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3S2)O,227.040484908,33.120000000000005,16.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,3.668900000000001,66.72080000000001
RM88,2-tert-butyl-6-(5-chlorobenzotriazol-2-yl)-4-methylphenol,3896-11-5,C17H18ClN3O,10.0,315.8,460.4,9.31±0.48,6.58,1.628,0.135,0.142,0.154,CC1=CC(=C(C(=C1)N2N=C3C=CC(=CC3=N2)Cl)O)C(C)(C)C,315.113839876,50.94,22.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,3.0,4.385420000000002,88.97680000000005
RM89,(2-hydroxy-4-octoxyphenyl)-phenylmethanone,1843-05-6,C21H26O3,9.0,326.4,457.9,7.59,7.36,1.548,0.161,0.233,0.22,CCCCCCCCOC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,326.18819469199997,46.53,24.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,3.0,10.0,0.0,0.0,0.0,2.0,5.362500000000007,96.85230000000006
RM90,"2-(benzotriazol-2-yl)-4,6-bis(2-methylbutan-2-yl)phenol",25973-55-1,C22H29N3O,10.0,351.5,469.1,8.85,8.28,1.575,0.401,0.394,0.285,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC,351.231062548,50.94,26.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,4.0,5.0,0.0,0.0,0.0,3.0,5.501300000000006,107.16380000000007
RM91,"bis(2,2,6,6-tetramethylpiperidin-4-yl) decanedioate",52829-07-9,C28H52N2O4,4.0,480.7,499.8,10.49,7.32,1.498,0.296,0.312,0.317,CC1(CC(CC(N1)(C)C)OC(=O)CCCCCCCCC(=O)OC2CC(NC(C2)(C)C)(C)C)C,480.392708144,76.66,34.0,2.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,2.0,6.0,11.0,0.0,2.0,2.0,2.0,5.812000000000006,137.75139999999996
